,Artist,Song Title,Lyrics,Year,word_count
20,Seether,Careless Whisper, i feel so unsure as i take your hand and lead you to the dance floor as the music dies  something in your eyes calls to mind a silver screen and all it is sad goodbyes  im never going to dance again these guilty feet have got no rhythm though it is easy to pretend i know you are not a fool i should have known better than to cheat a friend and waste a chance that ive been given so im never going to dance again the way i danced with you  time can never mend the careless whispers of a good friend to the heart and mind  ignorance is kind there is no comfort in the truth  pain is all you will find  im never going to dance again these guilty feet have got no rhythm though it is easy to pretend i know you are not a fool i should have known better than to cheat a friend and waste a chance that ive been given so im never going to dance again the way i danced with you  tonight the music seems so loud i wish that we could lose this crowd maybe it is better this way we hurt each other with the things we want to say we could have been so good together we could have lived this dance forever now who is going to dance with me please stay  im never going to dance again these guilty feet have got no rhythm though it is easy to pretend i know you are not a fool i should have known better than to cheat a friend and waste a chance that ive been given so im never going to dance again the way i danced with you,2009.0,294
21,Nickelback,Something In Your Mouth, got to meet the hottie with the million dollar body they say it is over budget  but you would pay her just to touch it  come on needs to hit the big screen and shoot a little love scene if hollywood had called her  she would be gone before you hollered  come on  dirty little lady with the pretty pink thong every sugar daddy hitting on her all night long does not care about the money  she could be with anybody are not it funny how the honey wanted you all along  you naughty thing  you are ripping up the dance floor  honey  you naughty woman  you shake your ass around for everyone  you are such a mover  i love the way you dance with anybody  the way you swing  and tease them all by sucking on your thumb you are so much cooler when you never pull it out because you look so much cuter with something in your mouth  crafty little lip tricks tattoos on her left hip she bending as you are spending there is no end to it  so baby  come on dressed up like a princess betting that her skin smells better than the scent of every flower in the desert  come on  dirty little lady with the pretty pink thong every sugar daddy hitting on her all night long does not care about the money  she could be with anybody are not it funny how the honey wanted you all along  you naughty thing  you are ripping up the dance floor  honey  you naughty woman  you shake your ass around for everyone  you are such a mover  i love the way you dance with anybody  the way you swing  and tease them all by sucking on your thumb you are so much cooler when you never pull it out because you look so much cuter with something in your mouth  she loves the night scene bar queen living for the fun taking over every dance floor like she is the only one in the spotlight all night dissing everyone and trying to look so innocent while sucking on her thumb  you are so much cooler  when you never pull it out  so much cuter  with something in your mouth  you naughty thing  you are ripping up the dance floor  honey  you naughty woman  you shake your ass around for everyone i love the way you dance with anybody  the way you swing  and tease them all by sucking on your thumb  you naughty thing  you are ripping up the dance floor  honey  you naughty woman  you shake that ass around for everyone  you are such a mover  i love the way you dance with anybody  the way you swing  and tease them all by sucking on your thumb you are so much cooler when you never pull it out because you look so much cuter with something in your,2009.0,485
22,The Airborne Toxic Event,Sometime Around Midnight,and it starts sometime around midnight or at least that is when you lose yourself for a minute or two as you stand under the bar lights and the band plays some song about forgetting yourself for a while and the pianos this melancholy soundtrack to her smile and that white dress she is wearing you have not seen her for a while  but you know that she is watching she is laughing  she is turning she is holding her tonic like a crux the rooms suddenly spinning she walks up and asks how you are so you can smell her perfume you can see her lying naked in your arms  and so there is a change in your emotions and all these memories come rushing like feral waves to your mind of the curl of your bodies like two perfect circles entwined and you feel hopeless and homeless and lost in the haze of the wine  then she leaves with someone you do not know but she makes sure you saw her she looks right at you and bolts as she walks out the door your blood boiling  your stomach in ropes oh  and your friends say what is it you look like you have seen a ghost  then you walk under the streetlights and you are too drunk to notice that everyones staring at you you just do not care what you look like the world is falling around you  you just have to see her you just have to see her you just have to see her you just have to see her you just have to see her you know that she will break you in two,2009.0,281
23,Green Day,21 Guns, do you know what is worth fighting for when it is not worth dying for does it take your breath away and you feel yourself suffocating does the pain weigh out the pride and you look for a place to hide did someone break your heart inside you are in ruins  one  twentyone guns lay down your arms give up the fight one  twentyone guns throw up your arms into the sky you and i  when you are at the end of the road and you lost all sense of control and your thoughts have taken their toll when your mind breaks the spirit of your soul your faith walks on broken glass and the hangover does not pass nothings ever built to last you are in ruins  one  twentyone guns lay down your arms give up the fight one  twentyone guns throw up your arms into the sky you and i  did you try to live on your own when you burned down the house and home did you stand too close to the fire like a liar looking for forgiveness from a stone  when it is time to live and let die and you cannot get another try something inside this heart has died you are in ruins  one  twentyone guns lay down your arms give up the fight one  twentyone guns throw up your arms into the sky one  twentyone guns lay down your arms give up the fight one  twentyone guns throw up your arms into the sky you and i,2009.0,255
24,Cavo,Champagne, i need you here with me do not take this too far now your eyes seem so lonely inside  you feel like you lost your mind  could have been the champagne  the champagne could have been the cocaine  the cocaine could have been the way you looked at me that told me we were through could have been a bad day  a bad day could have been the real way  the real way could have been the way you looked at me that told me we were through  through  and i miss you all day now im screaming inside out do not tempt me because i will break you i do not need this and i will burn this whole thing down  could have been the champagne  the champagne could have been the cocaine  the cocaine could have been the way you looked at me that told me we were through could have been a bad day  a bad day could have been the real way  the real way could have been the way you looked at me that told me we were through through  we were through  i wish you would take from me everything i cannot be with eyes so blind  you cannot see that i will not ever leave  well  could have been the champagne  the champagne could have been the cocaine  the cocaine could have been the way you looked at me that told me we were through could have been a bad day  a bad day could have been the real way  the real way could have been the way you looked at me that told me we were through through  we were through and now  we are through,2009.0,284
25,Sick Puppies,You're Going Down, define your meaning of war to me it is what we do when we are bored i feel the heat coming off of the blacktop and it makes me want it more because im hyped up  out of control if it is a fight  im ready to go i would not put my money on the other guy if you know what i know that i know  it is been a long time coming and the tables turned around because one of us is going one of us is going down im not running it is a little different now because one of us is going one of us is going down  define your meaning of fun is it fuckin  drugging or guns i feel the heat coming off of the blacktop so get ready for another one let us take a trip down memory lane the words circling in my brain you can treat this like another all the same but do not cry like a bitch when you feel the pain  it is been a long time coming and the tables turned around because one of us is going one of us is going down im not running it is a little different now because one of us is going one of us is going down  this is hardly worth fighting for but it is the little petty shit that i cannot ignore when my fist hits your face and your face hits the floor it will be a long time coming but you got the message now because i was never going yeah  you are the one that is going down  one of us is going down im not running it is a little different now because one of us is going one of us is going dow one of us is going dow down,2009.0,308
26,Nickelback,Burn It To The Ground, well  it is midnight  damn right  we are wound up too tight ive got a fist full of whiskey  the bottle just bit me oh that shit makes me bat shit crazy we have got no fear  no doubt  all in  balls out  we are going out tonight  hey  to kick out every light  hey  take anything we want  hey  drink everything in sight  hey  we are going till the world stops turning while we burn it to the ground tonight ooh ooh  we are screaming like demons  swinging from the ceiling i got a fist full of fifties  tequila just hit me oh we got no class  no taste  no shirt  and shit faced we got it lined up  shot down  firing back straight crown  we are going out tonight  hey  to kick out every light  hey  take anything we want  hey  drink everything in sight  hey  we are going till the world stops turning while we burn it to the ground tonight ooh ooh  ticking like a time bomb  drinking till the nights gone well  get your hands off of this glass  last call my ass well  no chain  no lock  and this train will not stop we got no fear  no doubt  all in  balls out  we are going out tonight  hey  to kick out every light  hey  take anything we want  hey  drink everything in sight  hey  we are going till the world stops turning while we burn it to the ground tonight ooh we are going out tonight  hey  to kick out every light  hey  take anything we want  hey  drink everything in sight  hey  we are going till the world stops turning while we burn it to the ground tonight,2009.0,286
27,Metallica,Cyanide, sleep  and dream of this death angels kiss brings final bliss come believe me  empty they say death  will not you let me stay empty they say death  hear me call your name oh  call your name  suicide  ive already died you are just the funeral ive been waiting for cyanide  living dead inside break this empty she will forevermore  wait  wait patiently your deathblack wings unfolding sleep spreading oer me  empty they say death  will not you let me stay empty they say death  hear me call your name oh  call your name  suicide  ive already died it is just the funeral ive been waiting for cyanide  living dead inside break this empty she will forevermore  say  is that rain or are they tears that stained your concrete face for years the crying  weeping  shedding strife year after year  life after life  an air of freshly broken ground a concrete angel laid right down upon the grave which swallows fast it is peace at last o peace at last  empty they say death  will not you let me stay empty they say death  hear me call your name oh  call your name  suicide  ive already died you are just the funeral ive been waiting for cyanide  living dead inside break this empty she will forevermore  forevermore forevermore it is the funeral ive been waiting for,2009.0,226
28,Breaking Benjamin,I Will Not Bow, fall  now the dark begins to rise save your breath  it is far from over leave the lost and dead behind nows your chance to run for cover i do not want to change the world i just want to leave it colder light the fuse and burn it up take the path that leads to nowhere all is lost again  but im not giving in  i will not bow  i will not break i will shut the world away i will not fall  i will not fade i will take your breath away  fall  watch the end through dying eyes now the dark is taking over show me where forever dies take the fall and run to heaven all is lost again  but im not giving in  i will not bow  i will not break i will shut the world away i will not fall  i will not fade i will take your breath away  and i will survive  paranoid i have lost the will to change and i am not proud  cold blooded fate i will shut the world away  i will not  i will not bow  i will not break i will shut the world away i will not fall  i will not fade i will take your breath away  and i will survive  paranoid i have lost the will to change and i am not proud  cold blooded fate i will shut the world away  fall,2009.0,240
30,Disturbed,The Night, what has come over me what madness taken hold of my heart to run away  the only answer pulling me away to fall upon the night the source of my recovery sweet shadow taking hold of the light another day has been devoured calling me away  begging the question why  for saving me from all they have taken letting my armor fall again giving me the strength to face them feeling it taking over now on a path to take it all away there can be no better way of knowing  in a world beyond controlling are you going to deny the savior in front of your eyes stare into the night power beyond containing are you going to remain a slave for the rest of your life give into the night  this self discovery redemption taking hold of my mind a serenade of haunting voices calling me away to feast upon the night the source of my felicity dark maiden taking hold of my hand lead me away from hibernation strong and unafraid never a question why  for saving me from all they have taken letting my armor fall again giving me the strength to face them feeling it taking over now on a path to take it all away there can be no better way of knowing  in a world beyond controlling are you going to deny the savior in front of your eyes stare into the night power beyond containing are you going to remain a slave for the rest of your life give into the night  give in to the night  in a world beyond controlling are you going to deny the savior in front of your eyes stare into the night power beyond containing are you going to remain a slave for the rest of your life give into the night  night  night  night give into the night night  night  night give into the night give into the night,2009.0,324
